Subject,Group,Category,Type,Metric,Value
sub-052,control,House,Bilateral,Hybrid_Stability,0.6876958470904432
sub-052,control,Face,Asymmetric,Spatial_Drift,2.775196603289151
sub-052,control,Word,Asymmetric,Spatial_Drift,4.105787145657108
sub-052,control,Object,Bilateral,Spatial_Drift,13.425087545772938
sub-052,control,House,Bilateral,Spatial_Drift,10.612414491866364
sub-052,control,Face,Asymmetric,Spatial_Drift,2.5224174966269826
sub-052,control,Word,Asymmetric,Spatial_Drift,15.652956920540195
sub-052,control,Object,Bilateral,Spatial_Drift,3.404494744506036
sub-052,control,House,Bilateral,Spatial_Drift,19.870040967130286
sub-052,control,Face,Asymmetric,RDM_Stability,0.7151948095136893
sub-052,control,Word,Asymmetric,RDM_Stability,0.864407978044589
sub-052,control,Object,Bilateral,RDM_Stability,0.23993750635065808
sub-052,control,House,Bilateral,RDM_Stability,0.056636372781789686
sub-052,control,Face,Asymmetric,RDM_Stability,0.9673138692238501
sub-052,control,Word,Asymmetric,RDM_Stability,0.4300471872276135
sub-052,control,Object,Bilateral,RDM_Stability,0.35084785399934826
sub-052,control,House,Bilateral,RDM_Stability,0.6777160988806616
sub-058,control,Face,Asymmetric,Hybrid_Stability,0.793588861280512
sub-058,control,Word,Asymmetric,Hybrid_Stability,0.8856870746307453
sub-058,control,Object,Bilateral,Hybrid_Stability,0.8692024363568773
sub-058,control,House,Bilateral,Hybrid_Stability,0.6577967329691919
sub-058,control,Face,Asymmetric,Hybrid_Stability,0.9070521534152907
sub-058,control,Word,Asymmetric,Hybrid_Stability,0.5695540878774065
sub-058,control,Object,Bilateral,Hybrid_Stability,0.6476162633351094
sub-058,control,House,Bilateral,Hybrid_Stability,0.8293265225353641
sub-058,control,Face,Asymmetric,Spatial_Drift,8.76635313766619
sub-058,control,Word,Asymmetric,Spatial_Drift,2.7947255141653384
sub-058,control,Object,Bilateral,Spatial_Drift,2.246681520804085
sub-058,control,House,Bilateral,Spatial_Drift,6.190972484128961
sub-058,control,Face,Asymmetric,Spatial_Drift,1.634299078058893
sub-058,control,Word,Asymmetric,Spatial_Drift,9.176582989478593
sub-058,control,Object,Bilateral,Spatial_Drift,2.337148047617039
sub-058,control,House,Bilateral,Spatial_Drift,1.98591768616402
sub-058,control,Face,Asymmetric,RDM_Stability,0.6686257872237319
sub-058,control,Word,Asymmetric,RDM_Stability,-0.1458372185990686
sub-058,control,Object,Bilateral,RDM_Stability,0.3650539203565437
sub-058,control,House,Bilateral,RDM_Stability,0.9532126871151435
sub-058,control,Face,Asymmetric,RDM_Stability,0.6646826441916937
sub-058,control,Word,Asymmetric,RDM_Stability,0.16798373939451783
sub-058,control,Object,Bilateral,RDM_Stability,0.7793221707506806
sub-058,control,House,Bilateral,RDM_Stability,0.9050368425160132
sub-062,control,Face,Asymmetric,Hybrid_Stability,0.9023821692727021
sub-062,control,Word,Asymmetric,Hybrid_Stability,0.9187131164955679
sub-062,control,Object,Bilateral,Hybrid_Stability,0.8842134761604448
sub-062,control,House,Bilateral,Hybrid_Stability,0.8657169629399184
sub-062,control,Face,Asymmetric,Hybrid_Stability,0.9299969243808843
sub-062,control,Word,Asymmetric,Hybrid_Stability,0.8654202944467795
sub-062,control,Object,Bilateral,Hybrid_Stability,0.8115984820466772
sub-062,control,House,Bilateral,Hybrid_Stability,0.9399088719319981
sub-062,control,Face,Asymmetric,Spatial_Drift,2.3181673448133253
sub-062,control,Word,Asymmetric,Spatial_Drift,1.7276860055075978
sub-062,control,Object,Bilateral,Spatial_Drift,1.0988595704447377
sub-062,control,House,Bilateral,Spatial_Drift,2.6754101147934977
sub-062,control,Face,Asymmetric,Spatial_Drift,1.2332691156550615
sub-062,control,Word,Asymmetric,Spatial_Drift,1.5460254486839544
sub-062,control,Object,Bilateral,Spatial_Drift,2.056822107745071
sub-062,control,House,Bilateral,Spatial_Drift,0.6082150438795125
sub-062,control,Face,Asymmetric,RDM_Stability,0.9539120818595028
sub-062,control,Word,Asymmetric,RDM_Stability,0.8581094322618591
sub-062,control,Object,Bilateral,RDM_Stability,0.952680577333817
sub-062,control,House,Bilateral,RDM_Stability,0.7190006862990711
sub-062,control,Face,Asymmetric,RDM_Stability,0.8718781218058061
sub-062,control,Word,Asymmetric,RDM_Stability,0.6431806548222796
sub-062,control,Object,Bilateral,RDM_Stability,0.7708140957131978
sub-062,control,House,Bilateral,RDM_Stability,0.8537691131188352
sub-064,control,Face,Asymmetric,Hybrid_Stability,0.8116567666080126
sub-064,control,Word,Asymmetric,Hybrid_Stability,0.27544098407583595
sub-064,control,Object,Bilateral,Hybrid_Stability,0.7471229727811324
sub-064,control,House,Bilateral,Hybrid_Stability,0.8291577726063788
sub-064,control,Face,Asymmetric,Hybrid_Stability,0.8937215377182096
sub-064,control,Word,Asymmetric,Hybrid_Stability,0.7928198234256091
sub-064,control,Object,Bilateral,Hybrid_Stability,0.724523017691471
sub-064,control,House,Bilateral,Hybrid_Stability,0.682340129969003
sub-064,control,Face,Asymmetric,Spatial_Drift,14.820730823588628
sub-064,control,Word,Asymmetric,Spatial_Drift,6.1034982671901155
sub-064,control,Object,Bilateral,Spatial_Drift,1.633393027710398
sub-064,control,House,Bilateral,Spatial_Drift,1.9963653866912152
sub-064,control,Face,Asymmetric,Spatial_Drift,7.354009903369857
sub-064,control,Word,Asymmetric,Spatial_Drift,20.596049649564932
sub-064,control,Object,Bilateral,Spatial_Drift,1.1717472733409178
sub-064,control,House,Bilateral,Spatial_Drift,3.912764814155038
sub-064,control,Face,Asymmetric,RDM_Stability,0.8626666703817302
sub-064,control,Word,Asymmetric,RDM_Stability,-0.14048942002010012
sub-064,control,Object,Bilateral,RDM_Stability,0.023443855669666645
sub-064,control,House,Bilateral,RDM_Stability,-0.03875480054463915
sub-064,control,Face,Asymmetric,RDM_Stability,0.7271698774842339
sub-064,control,Word,Asymmetric,RDM_Stability,0.7074152544615415
sub-064,control,Object,Bilateral,RDM_Stability,0.4751786188901122
sub-064,control,House,Bilateral,RDM_Stability,0.6995808998999797
sub-068,control,Face,Asymmetric,Hybrid_Stability,0.9301829567349151
sub-068,control,Word,Asymmetric,Hybrid_Stability,0.8927793305954449
sub-068,control,Object,Bilateral,Hybrid_Stability,0.705027121877214
sub-068,control,House,Bilateral,Hybrid_Stability,0.6996494813093072
sub-068,control,Face,Asymmetric,Hybrid_Stability,0.9343501765954042
sub-068,control,Object,Bilateral,Hybrid_Stability,0.6668105119098243
sub-068,control,House,Bilateral,Hybrid_Stability,0.8244993488484376
sub-068,control,Face,Asymmetric,Spatial_Drift,0.6189303160043486
sub-068,control,Word,Asymmetric,Spatial_Drift,1.2663026936047241
sub-068,control,Object,Bilateral,Spatial_Drift,4.798164539193861
sub-068,control,House,Bilateral,Spatial_Drift,1.3297768974920312
sub-068,control,Face,Asymmetric,Spatial_Drift,0.3185727510649885
sub-068,control,Object,Bilateral,Spatial_Drift,4.740600621033219
sub-068,control,House,Bilateral,Spatial_Drift,6.7008892311715424
sub-068,control,Face,Asymmetric,RDM_Stability,0.9474937658654239
sub-068,control,Word,Asymmetric,RDM_Stability,0.9088819774898625
sub-068,control,Object,Bilateral,RDM_Stability,0.8254485251260482
sub-068,control,House,Bilateral,RDM_Stability,0.8586170826578541
sub-068,control,Face,Asymmetric,RDM_Stability,0.8952366813580387
sub-068,control,Word,Asymmetric,RDM_Stability,0.42172922984982714
sub-068,control,Object,Bilateral,RDM_Stability,0.8803268740758771
sub-068,control,House,Bilateral,RDM_Stability,0.5954685579236976
