subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-025,control025,control,r,word,word,Unilateral,0.3080496237183204
sub-025,control025,control,r,word,object,Bilateral,0.31556845590747756
sub-025,control025,control,r,word,house,Bilateral,0.1583406121936768
sub-025,control025,control,r,object,face,Unilateral,0.1446261678585668
sub-025,control025,control,r,object,word,Unilateral,0.11613894217935115
sub-025,control025,control,r,object,object,Bilateral,0.19734965839167196
sub-025,control025,control,r,object,house,Bilateral,0.12422412326169921
sub-025,control025,control,r,house,face,Unilateral,0.6452596312289914
sub-025,control025,control,r,house,word,Unilateral,0.2568547508303763
sub-025,control025,control,r,house,object,Bilateral,0.2114316627217364
sub-025,control025,control,r,house,house,Bilateral,0.1804092845851397
sub-027,control027,control,l,face,face,Unilateral,0.19068977687619568
sub-027,control027,control,l,face,word,Unilateral,0.1970113838226202
sub-027,control027,control,l,face,object,Bilateral,0.12258110855252088
sub-027,control027,control,l,face,house,Bilateral,0.25338918273330946
sub-027,control027,control,l,word,face,Unilateral,0.2724358863824916
sub-027,control027,control,l,word,word,Unilateral,0.3982321093593869
sub-027,control027,control,l,word,object,Bilateral,0.4353446443996653
sub-027,control027,control,l,word,house,Bilateral,0.24617852914028623
sub-027,control027,control,l,object,face,Unilateral,0.13150885143691818
sub-027,control027,control,l,object,word,Unilateral,0.206562508406117
sub-027,control027,control,l,object,object,Bilateral,0.3203076773199073
sub-027,control027,control,l,object,house,Bilateral,0.43933381100315383
sub-027,control027,control,l,house,face,Unilateral,0.4152970655404647
sub-027,control027,control,l,house,word,Unilateral,0.5576177119259444
sub-027,control027,control,l,house,object,Bilateral,0.785906667892459
sub-027,control027,control,l,house,house,Bilateral,0.4849007045000886
sub-027,control027,control,r,face,face,Unilateral,0.1512534972340457
sub-027,control027,control,r,face,word,Unilateral,0.22358876968365043
sub-027,control027,control,r,face,object,Bilateral,0.1571569454481463
sub-027,control027,control,r,face,house,Bilateral,0.19144645867278126
sub-027,control027,control,r,word,face,Unilateral,0.3536743438597948
sub-027,control027,control,r,word,word,Unilateral,0.21357885102814125
sub-027,control027,control,r,word,object,Bilateral,0.5338976075810544
sub-027,control027,control,r,word,house,Bilateral,0.3869615102833285
sub-027,control027,control,r,object,face,Unilateral,0.2167575716639359
sub-027,control027,control,r,object,word,Unilateral,0.3157400235833509
sub-027,control027,control,r,object,object,Bilateral,0.1800077858911304
sub-027,control027,control,r,object,house,Bilateral,0.08343417646456061
